Symbol,Entry Date,Exit Date,Entry Price,Exit Price,Position Size,Stop Loss,Take Profit,Exit Reason,Profit/Loss $,Profit/Loss %,Capital After Trade,Trade Duration
GOOG,2024-06-05,2024-06-25,176.43606567382812,183.49350830078126,10.747273292204309,172.90734436035157,183.49350830078126,Take Profit,75.84826465591762,4.000000000000004,1339.9860089212063,20
GOOG,2024-06-27,2024-07-01,186.4028778076172,182.67482025146484,10.782982736222914,182.67482025146484,193.8589929199219,Stop Loss,-40.199580267636186,-2.0000000000000036,1299.78642865357,4
GOOG,2024-07-02,2024-07-17,186.1534881591797,182.4304183959961,10.473505827154785,182.4304183959961,193.5996276855469,Stop Loss,-38.9935928596071,-1.999999999999997,1260.792835793963,15
GOOG,2024-09-24,2024-10-01,163.45455932617188,169.99274169921875,11.570122372157847,160.18546813964844,169.99274169921875,Take Profit,75.64757014763778,4.000000000000003,1336.4404059416006,7
GOOG,2024-10-04,2024-10-07,168.36898803710938,165.0016082763672,11.906353018351378,165.0016082763672,175.10374755859377,Stop Loss,-40.09321217824802,-1.9999999999999967,1296.3471937633526,3
GOOG,2024-10-14,2024-10-24,166.1614990234375,162.83826904296873,11.702595379033859,162.83826904296873,172.807958984375,Stop Loss,-38.89041581290058,-2.00000000000001,1257.456777950452,10
GOOG,2024-10-28,2024-10-30,168.14923095703125,174.87520019531252,11.217328537218632,164.78624633789062,174.87520019531252,Take Profit,75.44740667702712,4.00000000000001,1332.9041846274793,2
GOOG,2024-11-05,2024-11-06,171.21575927734375,178.0643896484375,11.677407999006467,167.79144409179688,178.0643896484375,Take Profit,79.97425107764876,3.9999999999999987,1412.878435705128,1
GOOG,2024-11-07,2024-11-14,182.0734405517578,178.43197174072264,11.639905563025977,178.43197174072264,189.35637817382812,Stop Loss,-42.386353071153835,-2.000000000000006,1370.4920826339742,7
GOOG,2024-11-19,2024-11-20,179.37649536132812,175.78896545410157,11.460465429486613,175.78896545410157,186.55155517578126,Stop Loss,-41.11476247901923,-1.999999999999995,1329.377320154955,1
GOOG,2024-12-11,2024-12-13,196.7100067138672,192.77580657958984,10.137084602579385,192.77580657958984,204.57840698242188,Stop Loss,-39.881319604648645,-2.0000000000000018,1289.4960005503062,2
GOOG,2024-12-16,2024-12-18,198.16000366210938,194.1968035888672,9.761021220627457,194.1968035888672,206.08640380859376,Stop Loss,-38.68488001650918,-1.999999999999995,1250.811120533797,2
GOOG,2024-12-20,2025-01-02,192.9600067138672,189.10080657958983,9.723344815088323,189.10080657958983,200.67840698242188,Stop Loss,-37.52433361601391,-2.0000000000000075,1213.286786917783,13
GOOG,2025-01-06,2025-01-08,197.9600067138672,194.00080657958983,9.193423513099848,194.00080657958983,205.8784069824219,Stop Loss,-36.39860360753349,-2.0000000000000044,1176.8881833102496,2
GOOG,2025-01-17,2025-01-27,197.5500030517578,193.59900299072265,8.936128816474168,193.59900299072265,205.45200317382813,Stop Loss,-35.306645499307486,-2.0000000000000018,1141.581537810942,10
