Symbol,Profit/Loss $_sum,Profit/Loss $_mean,Profit/Loss $_count,Profit/Loss %_mean,Profit/Loss %_min,Profit/Loss %_max,Is Winning_mean,Trade Duration_mean
AAPL,287.8019014083561,19.18679342722374,15,1.1999999999999995,-2.000000000000009,4.000000000000008,0.5333333333333333,9.466666666666667
AMD,31.923085570518047,2.2802203978941464,14,0.14285714285714246,-2.000000000000008,4.000000000000006,0.35714285714285715,2.4285714285714284
AMZN,-151.08182263197037,-6.56877489704219,23,-0.17391304347826161,-2.0000000000000084,4.00000000000001,0.30434782608695654,4.478260869565218
DIS,-21.572892673185507,-2.3969880747983896,9,4.9343245538895844e-17,-2.0000000000000058,4.000000000000005,0.3333333333333333,9.555555555555555
GOOG,-128.6649426330992,-5.361039276379134,24,-0.25000000000000083,-2.00000000000001,4.00000000000001,0.2916666666666667,6.5
INTC,-80.00296377360581,-5.000185235850363,16,-0.12500000000000144,-2.0000000000000084,4.000000000000011,0.3125,2.875
JNJ,506.43906481791066,50.64390648179106,10,1.000000000000003,-2.000000000000007,4.000000000000013,0.5,10.9
JPM,728.7325614502303,45.54578509063939,16,1.3750000000000018,-2.0000000000000058,4.000000000000014,0.5625,9.5
KO,691.5181442192763,69.15181442192764,10,1.5999999999999988,-2.0000000000000067,4.000000000000012,0.6,18.2
META,189.3569456133531,9.467847280667655,20,0.39999999999999886,-2.000000000000011,4.00000000000001,0.4,5.8
MSFT,-51.802867098642466,-3.984835930664805,13,-0.15384615384615474,-2.0000000000000075,4.000000000000009,0.3076923076923077,8.538461538461538
NFLX,12.121169790472088,0.4661988380950803,26,0.0769230769230749,-2.00000000000001,4.000000000000007,0.34615384615384615,6.038461538461538
NVDA,426.99205047361085,16.422771172061957,26,0.7692307692307698,-2.0000000000000058,4.000000000000008,0.46153846153846156,2.576923076923077
PG,-259.62551830085704,-23.60231984553246,11,-0.3636363636363613,-2.0000000000000067,4.0000000000000115,0.2727272727272727,12.454545454545455
TSLA,254.09638955284208,7.473423222142414,34,0.4705882352941176,-2.000000000000009,4.000000000000011,0.4117647058823529,2.3529411764705883
V,205.40571235321613,18.673246577565102,11,0.7272727272727276,-2.0000000000000093,4.00000000000001,0.45454545454545453,11.727272727272727
