Exit Reason,Profit/Loss $_sum,Profit/Loss $_mean,Profit/Loss $_count,Profit/Loss %_mean,Is Winning_mean
Stop Loss,-9400.731778698133,-55.95673677796508,168,-2.000000000000002,0.0
Take Profit,12042.36779683656,109.47607088033236,110,4.000000000000003,1.0
